day,date,concept,core_q1,core_q2,stretch_q,status,coding_score_10,design_score_10,build_done,leadership_done,total_minutes,mistake_tags,reattempt_date,notes
33,2026-03-22,DP Advanced,62 Unique Paths,1143 Longest Common Subsequence,72 Edit Distance,NOT_STARTED,,,,,,,
34,2026-03-23,DP Advanced,416 Partition Equal Subset Sum,494 Target Sum,97 Interleaving String,NOT_STARTED,,,,,,,
35,2026-03-24,Graph Hard Mixed,815 Bus Routes,127 Word Ladder,399 Evaluate Division,NOT_STARTED,,,,,,,
36,2026-03-25,Graph Hard Mixed,332 Reconstruct Itinerary,2101 Detonate the Maximum Bombs,1514 Path with Maximum Probability,NOT_STARTED,,,,,,,
37,2026-03-26,Design DS,146 LRU Cache,981 Time Based Key-Value Store,460 LFU Cache,NOT_STARTED,,,,,,,
38,2026-03-27,Design DS,355 Design Twitter,1396 Design Underground System,1472 Design Browser History,NOT_STARTED,,,,,,,
39,2026-03-28,JS Async + FE MC,debounce,throttle,promiseAllWithLimit,NOT_STARTED,,,,,,,
40,2026-03-29,JS Async + FE MC,eventEmitter,retryWithExponentialBackoff,SSE stream parser,NOT_STARTED,,,,,,,
41,2026-03-30,Full Mock,210 Course Schedule II,295 Median Finder,,NOT_STARTED,,,,,,,
42,2026-03-31,Full Mock,743 Network Delay Time,146 LRU Cache,,NOT_STARTED,,,,,,,
43,2026-04-01,Full Mock,815 Bus Routes,JS Async Machine Coding,,NOT_STARTED,,,,,,,
44,2026-04-02,Gap Fix,Reattempt weakest #1,Reattempt weakest #2,Reattempt weakest #3,NOT_STARTED,,,,,,,
45,2026-04-03,Final Packet,Weakest medium,Hard graph,,NOT_STARTED,,,,,,,
