hackerrank_title,hackerrank_difficulty,hackerrank_access,mapping_quality,derived_statement,leetcode_title,leetcode_slug,leetcode_link,pattern
Encircular,Medium,full,high,Determine whether repeating robot instructions keeps motion bounded.,Robot Bounded In Circle,robot-bounded-in-circle,https://leetcode.com/problems/robot-bounded-in-circle/,Simulation
Permutations Divisible by 8,Hard,full,medium,Reason about digit permutations under divisibility constraints.,Largest Multiple of Three,largest-multiple-of-three,https://leetcode.com/problems/largest-multiple-of-three/,Greedy
Find the Substring,Medium,preview,medium,Search for a substring that satisfies pattern constraints.,Find the Index of the First Occurrence in a String,find-the-index-of-the-first-occurrence-in-a-string,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,Strings
Triplets,Medium,preview,medium,Count valid triplets under value and ordering constraints.,3Sum,3sum,https://leetcode.com/problems/3sum/,Two Pointers
Sub-Palindrome,Medium,preview,high,Count or optimize over palindromic substrings.,Palindromic Substrings,palindromic-substrings,https://leetcode.com/problems/palindromic-substrings/,Dynamic Programming
Merge In Between,Medium,preview,high,Splice one linked list into another between two indices.,Merge In Between Linked Lists,merge-in-between-linked-lists,https://leetcode.com/problems/merge-in-between-linked-lists/,Linked List
Shopping Cart Billing,Medium,preview,low,Aggregate cart or billing events under validation rules.,Invalid Transactions,invalid-transactions,https://leetcode.com/problems/invalid-transactions/,Hash Map
Sorted Arrangement,Hard,preview,high,Count or construct arrangements using order statistics or inversions.,Count of Smaller Numbers After Self,count-of-smaller-numbers-after-self,https://leetcode.com/problems/count-of-smaller-numbers-after-self/,Fenwick Tree
The Bitwise Equation,Medium,preview,medium,Satisfy a bitwise equation while optimizing a target value.,Minimize XOR,minimize-xor,https://leetcode.com/problems/minimize-xor/,Bit Manipulation
Preprocess Dates,Medium,full,high,Normalize textual dates into canonical sortable format.,Reformat Date,reformat-date,https://leetcode.com/problems/reformat-date/,Strings
Anagram Difference,Medium,full,high,Compute minimum edits needed to make two strings anagrams.,Minimum Number of Steps to Make Two Strings Anagram,minimum-number-of-steps-to-make-two-strings-anagram,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram/,Hash Map
Balanced Strings,Medium,full,medium,Split or evaluate strings under a balancing rule.,Split a String in Balanced Strings,split-a-string-in-balanced-strings,https://leetcode.com/problems/split-a-string-in-balanced-strings/,Greedy
Strongly Connected Groups,Hard,preview,low,Find a graph structure with strong connectivity constraints.,Critical Connections in a Network,critical-connections-in-a-network,https://leetcode.com/problems/critical-connections-in-a-network/,Graphs
String Chains,Hard,full,high,Build the longest chain by removing one character at a time.,Longest String Chain,longest-string-chain,https://leetcode.com/problems/longest-string-chain/,Dynamic Programming
Product Sales,Medium,full,low,Optimize grouped sales revenue under array constraints.,Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Dynamic Programming
Best Sum Downward Tree Path,Medium,full,medium,Find the best downward path sum in a rooted tree.,Binary Tree Maximum Path Sum,binary-tree-maximum-path-sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/,Trees
Substring Calculator,Hard,full,medium,Count or enumerate substrings using advanced string techniques.,Count Unique Characters of All Substrings of a Given String,count-unique-characters-of-all-substrings-of-a-given-string,https://leetcode.com/problems/count-unique-characters-of-all-substrings-of-a-given-string/,Strings
Maximum Common Companies,Hard,preview,low,Use graph components to maximize shared membership information.,Accounts Merge,accounts-merge,https://leetcode.com/problems/accounts-merge/,Disjoint Sets
Gridland,Hard,preview,low,Count or construct valid paths under combinatoric constraints.,Unique Paths III,unique-paths-iii,https://leetcode.com/problems/unique-paths-iii/,Backtracking
Hosts and the Total Number of Requests,Medium,full,medium,Aggregate host counts from log files and emit totals.,Analyze User Website Visit Pattern,analyze-user-website-visit-pattern,https://leetcode.com/problems/analyze-user-website-visit-pattern/,Hash Map
Select Using RegEx,Medium,preview,medium,Write a regex that matches one list and excludes another.,Regular Expression Matching,regular-expression-matching,https://leetcode.com/problems/regular-expression-matching/,Regex
Check the Structure,Medium,preview,high,Validate whether a preorder sequence can represent a BST.,Verify Preorder Sequence in Binary Search Tree,verify-preorder-sequence-in-binary-search-tree,https://leetcode.com/problems/verify-preorder-sequence-in-binary-search-tree/,Trees
Validating Strings with RegEx,Medium,preview,medium,Validate strings with a repeated endpoint regex rule.,Regular Expression Matching,regular-expression-matching,https://leetcode.com/problems/regular-expression-matching/,Regex
Bitwise XOR Subsequences,Medium,preview,medium,Count subsequences under XOR based state transitions.,Count Number of Maximum Bitwise-OR Subsets,count-number-of-maximum-bitwise-or-subsets,https://leetcode.com/problems/count-number-of-maximum-bitwise-or-subsets/,Bit Manipulation
Distance Metric,Medium,preview,medium,For each value sum distances between equal elements and their indices.,Intervals Between Identical Elements,intervals-between-identical-elements,https://leetcode.com/problems/intervals-between-identical-elements/,Arrays
Word Compression,Medium,preview,high,Compress repeated character runs under word editing rules.,String Compression,string-compression,https://leetcode.com/problems/string-compression/,Strings
Quiz Competition,Medium,preview,medium,Find the shortest window that covers all required talents.,Minimum Window Substring,minimum-window-substring,https://leetcode.com/problems/minimum-window-substring/,Sliding Window
Counting Analogous Arrays,Medium,preview,medium,Count arrays consistent with difference constraints and bounds.,Count Hidden Sequences,count-hidden-sequences,https://leetcode.com/problems/count-hidden-sequences/,Prefix Sum
Multiple Requests at a Time,Medium,preview,medium,Detect timestamps with simultaneous requests from logs.,High-Access Employees,high-access-employees,https://leetcode.com/problems/high-access-employees/,Sorting
Three Palindromic Substrings,Medium,preview,high,Determine whether a string can be partitioned into three palindromes.,Palindrome Partitioning IV,palindrome-partitioning-iv,https://leetcode.com/problems/palindrome-partitioning-iv/,Dynamic Programming
Load Distribution,Medium,preview,low,Balance or partition load across machines under constraints.,Capacity To Ship Packages Within D Days,capacity-to-ship-packages-within-d-days,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/,Binary Search
Calculate Region,Medium,preview-public,medium,Compute a stack based aggregate over all subarrays using maxima.,Sum of Subarray Minimums,sum-of-subarray-minimums,https://leetcode.com/problems/sum-of-subarray-minimums/,Stacks
Node Distances,Medium,preview,medium,Compute shortest path or aggregate node distances in a weighted graph.,Sum of Distances in Tree,sum-of-distances-in-tree,https://leetcode.com/problems/sum-of-distances-in-tree/,Graphs
Racing Car,Medium,preview,high,Minimize sideways lane changes to finish a race course.,Minimum Sideway Jumps,minimum-sideway-jumps,https://leetcode.com/problems/minimum-sideway-jumps/,Dynamic Programming
Priority Caching,Medium,full,medium,Maintain a cache ordered by access priority and updates.,LRU Cache,lru-cache,https://leetcode.com/problems/lru-cache/,Design
Ones Groups,Medium,preview,medium,Count connected groups of ones across binary representations.,Number of Islands,number-of-islands,https://leetcode.com/problems/number-of-islands/,Graphs
Lifting Weights,Medium,full,medium,Binary search the minimum capacity to place weights feasibly.,Capacity To Ship Packages Within D Days,capacity-to-ship-packages-within-d-days,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/,Binary Search
Cartridge Recycling,Medium,preview,low,Optimize purchase or recycle trades under a profit formula.,Maximum Value of K Coins From Piles,maximum-value-of-k-coins-from-piles,https://leetcode.com/problems/maximum-value-of-k-coins-from-piles/,Dynamic Programming
String Formation,Hard,preview,high,Form a target string from a dictionary with DP over columns.,Number of Ways to Form a Target String Given a Dictionary,number-of-ways-to-form-a-target-string-given-a-dictionary,https://leetcode.com/problems/number-of-ways-to-form-a-target-string-given-a-dictionary/,Dynamic Programming
Subsequence Removal,Medium,full,low,Remove a subsequence while preserving an ordering objective.,Is Subsequence,is-subsequence,https://leetcode.com/problems/is-subsequence/,Greedy
Global Maximum,Medium,preview,low,Compute a global maximum across constrained subsequences.,Maximum Subarray,maximum-subarray,https://leetcode.com/problems/maximum-subarray/,Dynamic Programming
Stock Market Prediction,Hard,full,low,Use monotonic structures to reason about stock trend outcomes.,Daily Temperatures,daily-temperatures,https://leetcode.com/problems/daily-temperatures/,Stacks
Drop-off Centers,Hard,preview,low,Choose hub locations on a graph to optimize service distance.,Optimize Water Distribution in a Village,optimize-water-distribution-in-a-village,https://leetcode.com/problems/optimize-water-distribution-in-a-village/,Graphs
Activate Fountain,Medium,preview,high,Open the minimum number of fountains to cover a line garden.,Minimum Number of Taps to Open to Water a Garden,minimum-number-of-taps-to-open-to-water-a-garden,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden/,Greedy
Arranging Numbers,Medium,preview,medium,Count permutations that satisfy arrangement constraints.,Beautiful Arrangement,beautiful-arrangement,https://leetcode.com/problems/beautiful-arrangement/,Backtracking
Array Journey,Medium,preview,medium,Maximize score while traversing an array under jump rules.,Jump Game VI,jump-game-vi,https://leetcode.com/problems/jump-game-vi/,Dynamic Programming
Max Path Sum,Medium,preview,medium,Choose the path with the maximum total score.,Binary Tree Maximum Path Sum,binary-tree-maximum-path-sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/,Trees
Selecting Stocks,Hard,full,medium,Choose investments under a budget to maximize return.,Best Time to Buy and Sell Stock IV,best-time-to-buy-and-sell-stock-iv,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/,Dynamic Programming
Connected Sum,Hard,full,medium,Group connected components and score them by component size.,Number of Connected Components in an Undirected Graph,number-of-connected-components-in-an-undirected-graph,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/,Disjoint Sets
Number of Moves,Medium,preview,high,Find the minimum knight moves on a chessboard.,Minimum Knight Moves,minimum-knight-moves,https://leetcode.com/problems/minimum-knight-moves/,Graphs
Reach the End in Time,Medium,full,high,Determine whether the goal is reachable within a time limit on a grid.,Escape the Spreading Fire,escape-the-spreading-fire,https://leetcode.com/problems/escape-the-spreading-fire/,Graphs
Checking Your Route,Hard,preview,low,Classify graph edges according to route membership properties.,Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree,find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree,https://leetcode.com/problems/find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree/,Graphs
Integer Reciprocal,Hard,preview,low,Reason about decimal reciprocals and repeating digits.,Fraction to Recurring Decimal,fraction-to-recurring-decimal,https://leetcode.com/problems/fraction-to-recurring-decimal/,Math
Product Defects,Medium,full,low,Analyze product runs and detect quality defects in arrays.,Find All Duplicates in an Array,find-all-duplicates-in-an-array,https://leetcode.com/problems/find-all-duplicates-in-an-array/,Arrays
Grouping Options,Medium,preview,medium,Count ways to split n people into k groups.,Number of Ways to Rearrange Sticks With K Sticks Visible,number-of-ways-to-rearrange-sticks-with-k-sticks-visible,https://leetcode.com/problems/number-of-ways-to-rearrange-sticks-with-k-sticks-visible/,Dynamic Programming
Avoiding Landmines,Hard,preview,medium,Count valid paths on a grid while avoiding blocked cells.,Unique Paths II,unique-paths-ii,https://leetcode.com/problems/unique-paths-ii/,Dynamic Programming
Coloring a Grid,Medium,preview,high,Count valid colorings of an n by 3 grid.,Painting a Grid With Three Different Colors,painting-a-grid-with-three-different-colors,https://leetcode.com/problems/painting-a-grid-with-three-different-colors/,Dynamic Programming
Build Offices,Hard,preview,medium,Place offices on a grid to minimize the worst distance.,Best Meeting Point,best-meeting-point,https://leetcode.com/problems/best-meeting-point/,Graphs
Image Matching,Hard,preview,medium,Compare binary images using island style matching.,Count Sub Islands,count-sub-islands,https://leetcode.com/problems/count-sub-islands/,Graphs
Scatter-Palindrome,Medium,preview,high,Count substrings whose letters can be rearranged into palindromes.,Number of Wonderful Substrings,number-of-wonderful-substrings,https://leetcode.com/problems/number-of-wonderful-substrings/,Bit Manipulation
Even Subarray,Medium,preview,low,Count distinct subarrays satisfying an evenness rule.,Number of Sub-arrays With Odd Sum,number-of-sub-arrays-with-odd-sum,https://leetcode.com/problems/number-of-sub-arrays-with-odd-sum/,Prefix Sum
Photo Album,Hard,preview,medium,Support array insertions and order statistic operations efficiently.,Queue Reconstruction by Height,queue-reconstruction-by-height,https://leetcode.com/problems/queue-reconstruction-by-height/,Fenwick Tree
Social Media Connections,Medium,preview,medium,Find the minimum trio degree or tightly connected triple score.,Minimum Degree of a Connected Trio in a Graph,minimum-degree-of-a-connected-trio-in-a-graph,https://leetcode.com/problems/minimum-degree-of-a-connected-trio-in-a-graph/,Graphs
Intelligent Substring,Medium,preview,medium,Find the longest valid substring under character constraints.,Longest Substring with At Most K Distinct Characters,longest-substring-with-at-most-k-distinct-characters,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters/,Sliding Window
Modify an Array,Medium,preview,low,Minimize the cost to reorder or modify an array into sorted form.,Make Array Strictly Increasing,make-array-strictly-increasing,https://leetcode.com/problems/make-array-strictly-increasing/,Dynamic Programming
Consecutive Sum,Medium,preview,high,Count ways to write n as a sum of consecutive integers.,Consecutive Numbers Sum,consecutive-numbers-sum,https://leetcode.com/problems/consecutive-numbers-sum/,Math
The Social Network,Medium,preview,low,Form valid groups based on connectivity or hash constraints.,Accounts Merge,accounts-merge,https://leetcode.com/problems/accounts-merge/,Hash Map
Caesar Edit Distance,Medium,preview,medium,Compute edit distance with an added cyclic shift operation.,Edit Distance,edit-distance,https://leetcode.com/problems/edit-distance/,Dynamic Programming
Paths to a Goal,Hard,preview,medium,Count subsequences of moves that end at a target position.,Number of Ways to Reach a Position After Exactly k Steps,number-of-ways-to-reach-a-position-after-exactly-k-steps,https://leetcode.com/problems/number-of-ways-to-reach-a-position-after-exactly-k-steps/,Dynamic Programming
Sprint Training,Medium,preview,high,Find the most visited position on a circular track.,Most Visited Sector in a Circular Track,most-visited-sector-in-a-circular-track,https://leetcode.com/problems/most-visited-sector-in-a-circular-track/,Prefix Sum
Inversions,Medium,preview,high,Count inversions in an array efficiently.,Global and Local Inversions,global-and-local-inversions,https://leetcode.com/problems/global-and-local-inversions/,Fenwick Tree
Airport Limousine,Hard,preview,low,Collect the maximum value while moving through a grid game.,Cherry Pickup,cherry-pickup,https://leetcode.com/problems/cherry-pickup/,Dynamic Programming
Common Prefix Length,Hard,preview,medium,Compare all split positions by longest common prefix lengths.,Longest Common Prefix,longest-common-prefix,https://leetcode.com/problems/longest-common-prefix/,Strings
Cutting Metal Surplus,Medium,preview,medium,Cut rods to maximize profit under a sale and cost model.,Cutting Ribbons,cutting-ribbons,https://leetcode.com/problems/cutting-ribbons/,Binary Search
Connected Groups,Medium,preview,high,Count connected components such as zombie clusters.,Number of Provinces,number-of-provinces,https://leetcode.com/problems/number-of-provinces/,Graphs
Paths in a Warehouse,Hard,preview,medium,Count valid paths through a matrix with blocked cells.,Unique Paths II,unique-paths-ii,https://leetcode.com/problems/unique-paths-ii/,Dynamic Programming
Component Groups,Medium,preview,low,Count substrings or groups by shared component signatures.,Group Anagrams,group-anagrams,https://leetcode.com/problems/group-anagrams/,Hash Map
Moving Machines,Hard,preview,low,Optimize server movements using subset state transitions.,Parallel Courses II,parallel-courses-ii,https://leetcode.com/problems/parallel-courses-ii/,Bitmask
Pipeline Response Time Sum,Hard,preview,medium,Use a monotonic stack to sum a subarray aggregate.,Sum of Subarray Minimums,sum-of-subarray-minimums,https://leetcode.com/problems/sum-of-subarray-minimums/,Stacks
Shortest Substring,Hard,preview,medium,Delete the shortest substring to satisfy an ordering property.,Delete Columns to Make Sorted III,delete-columns-to-make-sorted-iii,https://leetcode.com/problems/delete-columns-to-make-sorted-iii/,Strings
Exit Time,Medium,preview,high,Find when moving objects leave a one dimensional segment.,Last Moment Before All Ants Fall Out of a Plank,last-moment-before-all-ants-fall-out-of-a-plank,https://leetcode.com/problems/last-moment-before-all-ants-fall-out-of-a-plank/,Math
Largest Subset,Hard,preview,medium,Schedule the maximum compatible events or intervals.,Maximum Number of Events That Can Be Attended,maximum-number-of-events-that-can-be-attended,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended/,Greedy
Track Command Position,Hard,preview,low,Traverse a tree and answer path location queries.,Step-By-Step Directions From a Binary Tree Node to Another,step-by-step-directions-from-a-binary-tree-node-to-another,https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another/,Trees
Maximizing the Redundancy,Medium,preview,low,Use prefix or greedy reasoning over server status strings.,Maximum Consecutive Ones III,maximum-consecutive-ones-iii,https://leetcode.com/problems/maximum-consecutive-ones-iii/,Sliding Window
Optimal Team Selection,Medium,preview,medium,Choose a team under skill constraints to maximize score.,Maximum Performance of a Team,maximum-performance-of-a-team,https://leetcode.com/problems/maximum-performance-of-a-team/,Greedy
Consistent Logs,Medium,preview,low,Find the longest consistent segment in logs under limited edits.,Max Consecutive Ones III,max-consecutive-ones-iii,https://leetcode.com/problems/max-consecutive-ones-iii/,Sliding Window
Process Allocation,Medium,preview,medium,Allocate processes to fit capacity with sorting and search.,Capacity To Ship Packages Within D Days,capacity-to-ship-packages-within-d-days,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/,Binary Search
Valid Network,Hard,preview,medium,Validate a graph by number theoretic and DFS conditions.,Graph Valid Tree,graph-valid-tree,https://leetcode.com/problems/graph-valid-tree/,Graphs
Merge Networks,Hard,preview,medium,Merge trees while optimizing or measuring resulting diameter.,Find Minimum Diameter After Merging Two Trees,find-minimum-diameter-after-merging-two-trees,https://leetcode.com/problems/find-minimum-diameter-after-merging-two-trees/,Trees
Pod Failure,Medium,preview,low,Track failures from log operations with sets and priorities.,Task Scheduler,task-scheduler,https://leetcode.com/problems/task-scheduler/,Heap / Priority Queue
Horizontal Pod Autoscaler,Medium,preview,low,Scale pods greedily to satisfy load constraints.,Minimized Maximum of Products Distributed to Any Store,minimized-maximum-of-products-distributed-to-any-store,https://leetcode.com/problems/minimized-maximum-of-products-distributed-to-any-store/,Greedy
Database Configuration,Hard,preview,low,Reconfigure a tree architecture with DP on clusters.,House Robber III,house-robber-iii,https://leetcode.com/problems/house-robber-iii/,Trees
Palindrome Transformation,Medium,preview,medium,Transform data into palindromic form with graph or array operations.,Minimum Insertion Steps to Make a String Palindrome,minimum-insertion-steps-to-make-a-string-palindrome,https://leetcode.com/problems/minimum-insertion-steps-to-make-a-string-palindrome/,Dynamic Programming
Minimum Processing Time,Medium,preview,high,Schedule data files to processors minimizing total finish time.,Minimum Processing Time,minimum-processing-time,https://leetcode.com/problems/minimum-processing-time/,Greedy
Log Table,Medium,preview,low,Analyze process logs on a tree using BFS style expansion.,Time Needed to Inform All Employees,time-needed-to-inform-all-employees,https://leetcode.com/problems/time-needed-to-inform-all-employees/,Trees
Neural Network Optimization,Medium,preview,low,Run DFS over a tree to optimize signal capture or cuts.,Sum of Distances in Tree,sum-of-distances-in-tree,https://leetcode.com/problems/sum-of-distances-in-tree/,Trees
Radio Waves,Medium,preview,low,Optimize communication on a tree using diameter and DP ideas.,Minimum Time to Collect All Apples in a Tree,minimum-time-to-collect-all-apples-in-a-tree,https://leetcode.com/problems/minimum-time-to-collect-all-apples-in-a-tree/,Trees
Server Connection,Medium,preview,low,Traverse a server tree with recursion and path computations.,Count Nodes Equal to Average of Subtree,count-nodes-equal-to-average-of-subtree,https://leetcode.com/problems/count-nodes-equal-to-average-of-subtree/,Trees
Feature Partition,Hard,preview,medium,Partition an array into k valid groups with minimum changes.,Partition Array Into Two Arrays to Minimize Sum Difference,partition-array-into-two-arrays-to-minimize-sum-difference,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference/,Dynamic Programming
Dual Core Processor,Medium,preview,low,Split process queues across two cores to optimize total time.,Fair Distribution of Cookies,fair-distribution-of-cookies,https://leetcode.com/problems/fair-distribution-of-cookies/,Backtracking
Memory MEX,Medium,preview,medium,Maintain mex under greedy updates using heaps and maps.,Smallest Missing Non-negative Integer After Operations,smallest-missing-non-negative-integer-after-operations,https://leetcode.com/problems/smallest-missing-non-negative-integer-after-operations/,Greedy
Resource Consolidation,Hard,preview,medium,Consolidate resources between locations using subset DP.,Minimum Cost to Connect Two Groups of Points,minimum-cost-to-connect-two-groups-of-points,https://leetcode.com/problems/minimum-cost-to-connect-two-groups-of-points/,Dynamic Programming
Capable Models,Medium,preview,low,Choose affordable models with sorted capability matching.,Maximum Compatibility Score Sum,maximum-compatibility-score-sum,https://leetcode.com/problems/maximum-compatibility-score-sum/,Greedy
Priority Processes,Medium,preview,low,Schedule priority tasks while preserving execution constraints.,Single-Threaded CPU,single-threaded-cpu,https://leetcode.com/problems/single-threaded-cpu/,Sorting
K-Means Clustering,Medium,full,medium,Optimize clustering quality with binary search over distances.,Minimize Max Distance to Gas Station,minimize-max-distance-to-gas-station,https://leetcode.com/problems/minimize-max-distance-to-gas-station/,Binary Search
Thread Count,Medium,full,low,Count or select threads in a service tree using greedy priorities.,Maximum Average Subtree,maximum-average-subtree,https://leetcode.com/problems/maximum-average-subtree/,Trees
Count User Logins,Medium,preview,medium,Aggregate login counts over time windows.,Active Users,active-users,https://leetcode.com/problems/active-users/,Hash Map
Node Disconnection,Hard,full,medium,Disconnect all compromised nodes with minimum cuts or edits.,Delete Operation for Two Strings,delete-operation-for-two-strings,https://leetcode.com/problems/delete-operation-for-two-strings/,Dynamic Programming
File Structure,Hard,preview,medium,Represent and manipulate a directory tree structure.,Design In-Memory File System,design-in-memory-file-system,https://leetcode.com/problems/design-in-memory-file-system/,Design
Cyber Beacon Detection,Medium,full,low,Locate a rogue signal with greedy and binary search logic.,Heaters,heaters,https://leetcode.com/problems/heaters/,Binary Search
Stable Segments,Medium,preview,low,Find the longest stable contiguous segment under a tolerance rule.,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit/,Sliding Window
LFU Cache,Hard,preview,high,Implement an LFU cache with LRU tie breaking.,LFU Cache,lfu-cache,https://leetcode.com/problems/lfu-cache/,Design
Optimizing Delivery,Hard,full,low,Use shortest path reasoning for multi hop deliveries.,Network Delay Time,network-delay-time,https://leetcode.com/problems/network-delay-time/,Shortest Paths
Task Scheduling,Medium,full,medium,Schedule tasks subject to memory or cooldown limits.,Task Scheduler,task-scheduler,https://leetcode.com/problems/task-scheduler/,Greedy
Authentication System,Medium,preview,high,Manage expiring sessions with renew and count operations.,Design Authentication Manager,design-authentication-manager,https://leetcode.com/problems/design-authentication-manager/,Design
Efficient Scaling,Medium,preview,low,Scale a pipeline by optimizing sequential service capacities.,Minimized Maximum of Products Distributed to Any Store,minimized-maximum-of-products-distributed-to-any-store,https://leetcode.com/problems/minimized-maximum-of-products-distributed-to-any-store/,Binary Search
Song Popularity,Medium,preview,medium,Rank songs by popularity using sorting and tie breaks.,Top K Frequent Elements,top-k-frequent-elements,https://leetcode.com/problems/top-k-frequent-elements/,Sorting
DNA Sequencing,Hard,preview,low,Analyze palindromic DNA patterns with prefix masks.,Find Longest Awesome Substring,find-longest-awesome-substring,https://leetcode.com/problems/find-longest-awesome-substring/,Bit Manipulation
Problem Setting,Hard,preview,low,Assign tags to problems using bitmask DP.,Maximum Students Taking Exam,maximum-students-taking-exam,https://leetcode.com/problems/maximum-students-taking-exam/,Bitmask
Meeting Assistant,Medium,preview,medium,Aggregate meeting intervals and answer availability queries.,Meeting Rooms II,meeting-rooms-ii,https://leetcode.com/problems/meeting-rooms-ii/,Prefix Sum
Element Swapping,Medium,preview,medium,Perform constrained swaps to optimize lexicographic or score order.,Lexicographically Smallest Array After Applying Operations,lexicographically-smallest-array-after-applying-operations,https://leetcode.com/problems/lexicographically-smallest-array-after-applying-operations/,Greedy
Selling Price,Hard,preview,low,Optimize values over a rooted product tree.,Maximum Difference Between Node and Ancestor,maximum-difference-between-node-and-ancestor,https://leetcode.com/problems/maximum-difference-between-node-and-ancestor/,Trees
Network Construction,Hard,preview,high,Build a minimum cost network using DSU and greedy edges.,Min Cost to Connect All Points,min-cost-to-connect-all-points,https://leetcode.com/problems/min-cost-to-connect-all-points/,Disjoint Sets
Sum of All Values,Medium,preview,medium,Sum values of all numeric substrings of a digit string.,Sum of Beauty of All Substrings,sum-of-beauty-of-all-substrings,https://leetcode.com/problems/sum-of-beauty-of-all-substrings/,Strings
Solving Linear Equation,Medium,preview,medium,Count solutions to a linear equation under bounds.,Solving Questions With Brainpower,solving-questions-with-brainpower,https://leetcode.com/problems/solving-questions-with-brainpower/,Binary Search
Lectures at School,Hard,preview,medium,Choose lectures to skip minimizing total attendance time.,Minimum Difficulty of a Job Schedule,minimum-difficulty-of-a-job-schedule,https://leetcode.com/problems/minimum-difficulty-of-a-job-schedule/,Dynamic Programming
Portfolio Backtesting,Hard,preview,medium,Maximize trading profit with risk style constraints.,Best Time to Buy and Sell Stock IV,best-time-to-buy-and-sell-stock-iv,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/,Heap / Priority Queue
Word Transformation,Hard,preview,medium,Transform a string repeatedly and compute its resulting length.,Word Ladder,word-ladder,https://leetcode.com/problems/word-ladder/,Dynamic Programming
String Modification,Hard,full,low,Modify a string under transformation rules using DP.,Edit Distance,edit-distance,https://leetcode.com/problems/edit-distance/,Dynamic Programming
Items Purchase,Medium,preview,low,Choose store items greedily under a budget and discount rule.,IPO,ipo,https://leetcode.com/problems/ipo/,Heap / Priority Queue
